date,name,type,value
09/01/2020 17:00:00,3A-07p,pH,8.22
09/01/2020 17:00:00,3A-08p,pH,8
09/01/2020 17:00:00,3B-08p,pH,8.02
09/01/2020 18:10:00,3A-01p,pH,8.21
09/01/2020 18:10:00,3A-02p,pH,7.74
09/01/2020 18:10:00,3A-03p,pH,8.16
09/01/2020 18:10:00,3A-04p,pH,7.27
09/01/2020 18:10:00,3A-05p,pH,8.21
09/01/2020 18:10:00,3A-06p,pH,7.82
09/01/2020 18:10:00,3B-07p,pH,8.35
09/01/2020 18:10:00,3B-01p,pH,8.38
09/01/2020 18:10:00,3B-02p,pH,7.75
09/01/2020 18:10:00,3B-03p,pH,8.36
09/01/2020 18:10:00,3B-04p,pH,7.72
09/01/2020 18:10:00,3B-05p,pH,8.24
09/01/2020 18:10:00,3B-06p,pH,7.94
09/01/2020 18:10:00,3A-07p,pH,8.21
09/01/2020 18:10:00,3A-08p,pH,7.9
09/01/2020 18:10:00,3B-08p,pH,7.91
09/01/2020 19:20:00,3A-01p,pH,8.21
09/01/2020 19:20:00,3A-02p,pH,7.9
09/01/2020 19:20:00,3A-03p,pH,8.15
09/01/2020 19:20:00,3A-04p,pH,7.64
09/01/2020 19:20:00,3A-05p,pH,8.22
09/01/2020 19:20:00,3A-06p,pH,7.89
09/01/2020 19:20:00,3B-07p,pH,8.32
09/01/2020 19:20:00,3B-01p,pH,8.34
09/01/2020 19:20:00,3B-02p,pH,7.86
