date,value
09/04/2020,27
09/04/2020,26
09/04/2020,26.2
09/04/2020,26.7
09/04/2020,27.1
09/04/2020,27.2
09/04/2020,26.3
09/04/2020,26.5
09/04/2020,27
09/04/2020,27.3
09/04/2020,26.7
09/04/2020,26.6
09/04/2020,27.2
09/04/2020,27.2
09/04/2020,26.8
09/04/2020,27.3
09/04/2020,26.8
09/04/2020,26.1
09/04/2020,26.1
09/04/2020,26.7
09/04/2020,27.1
09/04/2020,27.2
09/04/2020,26.3
09/04/2020,26.4
09/04/2020,27
09/04/2020,27.3
09/04/2020,26.7
09/04/2020,26.6
09/04/2020,27.2
09/04/2020,27.2
09/04/2020,26.8
09/04/2020,27.3
09/04/2020,26.9
09/04/2020,26
09/04/2020,26
09/04/2020,26.6
09/04/2020,27
09/04/2020,27.1
09/04/2020,26.3
09/04/2020,26.3
09/04/2020,27
09/04/2020,27.3
09/04/2020,26.7
09/04/2020,26.6
09/04/2020,27.2
09/04/2020,27.2
09/04/2020,26.7
09/04/2020,27.3
09/04/2020,26.8
09/04/2020,25.8
09/04/2020,25.9
09/04/2020,26.6
09/04/2020,27
09/04/2020,27
09/04/2020,26.1
09/04/2020,26.3
09/04/2020,26.8
09/04/2020,27.2
09/04/2020,26.6
09/04/2020,26.3
09/04/2020,27.1
09/04/2020,27
09/04/2020,26.7
09/04/2020,27.3
09/04/2020,26.7
09/04/2020,25.8
09/04/2020,25.9
09/04/2020,26.6
09/04/2020,27
09/04/2020,27.1
09/04/2020,26.2
09/04/2020,26.3
09/04/2020,27
09/04/2020,27.2
09/04/2020,26.6
09/04/2020,26.4
09/04/2020,27.1
09/04/2020,27.1
09/04/2020,26.7
09/04/2020,27.3
09/04/2020,26.7
09/04/2020,26
09/04/2020,26.1
09/04/2020,26.7
09/04/2020,27.1
09/04/2020,27.2
09/04/2020,26.4
