ASV.ID,F01.21.GEL,F01.21.WAT,F04.21.GEL,F04.21.SED,F04.21.WAT,F07.20.COR,F07.20.GEL,F07.20.SED,F07.20.WMS,F07.21.COR,F07.21.GEL,F07.21.SED,F07.21.WAT,F09.21.GEL,F09.21.SED,F09.21.WAT,F09.21.WMS,F10.20.GEL,F10.20.SED,F10.20.WAT,F10.20.WMS,SEnd.1A.02.WMS,SEnd.1B.05.WMS,SEnd.1C.04.WMS,SEnd.1C.06.WMS,SEnd.1D.07.WMS,SEnd.2C.04.WMS,SEnd.2C.06.WMS,SEnd.2D.05.WMS,SEnd.2D.07.WMS,SEnd.2D.09.WMS,SEnd1.WAT,SEnd2.WAT,SEnd3.WAT,SSt1.1A.COR,SSt1.1A.GEL,SSt1.WMS,SSt2.1B.COR,SSt2.1B.GEL,SSt2.WMS,SSt3.1C.COR,SSt3.1C.GEL,SSt3.WMS,SSt4.1D.COR,SSt4.1D.GEL,SSt4.WMS,SSt5.2C.COR,SSt5.2C.GEL,SSt5.WMS,SSt6.2D.COR,SSt6.2D.GEL,SSt6.WMS,WEnd1.WAT,WEnd2.WAT,WEnd3.WAT,WSt1.1A.04.GEL,WSt1.1A.COR,WSt1.WMS,WSt2.1A.05.GEL,WSt2.1C.COR,WSt2.WMS,WSt3.1A.06.GEL,WSt3.2C.COR,WSt3.WMS
ASV53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0
ASV54,595,0,903,0,0,1359,374,0,0,515,636,275,86,396,0,0,0,485,0,0,0,0,0,0,0,0,0,0,112,0,363,0,0,0,229,730,0,193,289,0,0,245,0,0,0,0,0,738,0,0,0,0,0,199,353,918,355,628,542,563,429,58,1666,1292
ASV55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0
ASV56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,505,0,0,0,0,0,575,0,0,206,205,0,0,0,0,0,0,0,0,300,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0
ASV58,93,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,188,0,0,401,209,0,211,0,0,0,0,0,0,0,253,0,0,256,54,0,382,0,0
ASV59,0,0,0,0,0,0,0,0,0,0,480,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV60,0,0,0,0,0,37,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,146,330,0,86,39,59,233,0,0,0,0,0,241,0,0,131,0,0,0,0,0,0,0,0,199,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0
ASV61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,120,0,239,214,475
ASV62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,382,0,94,387,0,265,0,0,0,0,0,0,0,0,242,0,0,158,0,0,0,0,0,357,0,0,300,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0
ASV63,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,114,0,0,0,0,89,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,205,0,0,136,0,0,127,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0
ASV64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0
ASV65,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,73,0,0,0,0
ASV66,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641,0,0,0,0,0,0,0,0,0,0,0
ASV67,0,244,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,187,0,0,0,0,0,0,0,0,0
ASV68,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV69,64,0,0,453,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,90,0,0,0,0,0,0,0,0,0,0,84,0,0,98,0,0,64,0,0
ASV70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,132,132,90,0,0,0,40,97,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0
ASV71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,79,0,0,140,0,169,0,0,0,0,0,0,136,0,0,178,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,48,0,0,444,0,0,49,0,0,103,0,0,0,0,0,35,0,0,0,0,124,0,0,0,0,0,0,0,0
ASV73,0,0,0,0,0,203,121,191,110,0,0,223,0,0,215,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,105,0,236,0,0,94,42,0,0,0,0,50,0,0,0
ASV74,26,0,90,142,0,0,0,0,0,0,0,114,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,95,0,0,0,0,0,109,441
ASV75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV76,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,36,145,0,159,0,0,276,163
