"","Experiment_Other","OTU","merged","meanasv","sdasv","n"
"104","Disease","ASV999","Planctomycetota_Phycisphaerae_Phycisphaerales_Phycisphaeraceae_SM1A02_uncultured_bacterium",0.024,0.0759,10
"105","Gelidium","ASV1003","WPS-2_WPS-2_WPS-2_WPS-2_WPS-2_marine_metagenome",0.0137,0.0475,12
"106","Gelidium","ASV1010","Latescibacterota_Latescibacterota_Latescibacterota_Latescibacterota_Latescibacterota_uncultured_bacterium",0.0298,0.1031,12
"107","Gelidium","ASV116","Verrucomicrobiota_Verrucomicrobiae_Opitutales_Puniceicoccaceae_Pelagicoccus_uncultured_bacterium",0.4947,1.7138,12
"108","Gelidium","ASV121","Campilobacterota_Campylobacteria_Campylobacterales_Sulfurospirillaceae_Sulfurospirillum_epsilon_proteobacterium",0.4315,1.0111,12
"109","Gelidium","ASV128","Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Fusibacteraceae_Fusibacter_bacterium_WH4-9",0.1136,0.3934,12
"110","Gelidium","ASV129","Bacteroidota_Bacteroidia_Flavobacteriales_Cryomorphaceae_uncultured_uncultured_bacterium",0.046,0.1592,12
"111","Gelidium","ASV13","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Spirochaeta_2_Oceanispirochaeta_sediminicola",0.6717,1.096,12
"112","Gelidium","ASV141","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmataceae_Izemoplasmataceae_bacterium_enrichment",0.0831,0.2879,12
"113","Gelidium","ASV157","Cyanobacteria_Vampirivibrionia_Caenarcaniphilales_Caenarcaniphilales_Caenarcaniphilales_uncultured_bacterium",0.3375,0.8805,12
"114","Gelidium","ASV159","Campilobacterota_Campylobacteria_Campylobacterales_Arcobacteraceae_uncultured_uncultured_organism",0.6927,1.4255,12
"115","Gelidium","ASV162","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Sediminispirochaeta_uncultured_bacterium",0.3971,1.2191,12
"116","Gelidium","ASV169","Bacteroidota_Bacteroidia_Bacteroidales_Prolixibacteraceae_Draconibacterium_uncultured_bacterium",0.6545,1.522,12
"117","Gelidium","ASV170","Cloacimonadota_Cloacimonadia_Cloacimonadales_MSBL8_MSBL8_uncultured_bacterium",1.1663,1.8024,12
"118","Gelidium","ASV173","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Saccharospirillaceae_uncultured_uncultured_bacterium",0.4124,1.4285,12
"119","Gelidium","ASV189","Cloacimonadota_Cloacimonadia_Cloacimonadales_LK-44f_LK-44f_uncultured_bacterium",0.2588,0.8966,12
"120","Gelidium","ASV190","Firmicutes_Clostridia_Clostridia_vadinBB60_group_Clostridia_vadinBB60_group_Clostridia_vadinBB60_group_uncultured_bacterium",0.2588,0.8966,12
"121","Gelidium","ASV197","Patescibacteria_Gracilibacteria_Gracilibacteria_Gracilibacteria_Gracilibacteria_uncultured_Compostimonas",0.2554,0.8846,12
"122","Gelidium","ASV20","Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_uncultured_bacterium",0.0059,0.0203,12
"123","Gelidium","ASV203","Bacteroidota_Bacteroidia_Cytophagales_Amoebophilaceae_Candidatus_Amoebophilus_uncultured_bacterium",0.0269,0.0931,12
"124","Gelidium","ASV205","Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidetes_BD2-2_Bacteroidetes_BD2-2_uncultured_bacterium",1.0077,1.9465,12
"125","Gelidium","ASV209","Desulfobacterota_Desulfuromonadia_Desulfuromonadia_Geopsychrobacteraceae_uncultured_uncultured_bacterium",0.3306,0.9173,12
"126","Gelidium","ASV211","Campilobacterota_Campylobacteria_Campylobacterales_uncultured_uncultured_uncultured_bacterium",0.0396,0.137,12
"127","Gelidium","ASV219","Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Marinifilum_Marinifilum_sp.",0.1333,0.4618,12
"128","Gelidium","ASV225","Patescibacteria_Gracilibacteria_Absconditabacteriales_(SR1)_Absconditabacteriales_(SR1)_Absconditabacteriales_(SR1)_uncultured_bacterium",0.1601,0.2992,12
"129","Gelidium","ASV227","Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_uncultured_eubacterium",0.1065,0.3688,12
"130","Gelidium","ASV23","Proteobacteria_Gammaproteobacteria_Beggiatoales_Beggiatoaceae_Thioflexothrix_Beggiatoa_sp.",0.5172,1.252,12
"131","Gelidium","ASV231","Bacteroidota_Bacteroidia_Flavobacteriales_Crocinitomicaceae_Crocinitomix_uncultured_bacterium",0.023,0.0796,12
"132","Gelidium","ASV232","Planctomycetota_vadinHA49_vadinHA49_vadinHA49_vadinHA49_uncultured_bacterium",0.229,0.6769,12
"133","Gelidium","ASV233","Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Robiginitalea_uncultured_bacterium",0.1407,0.4875,12
"134","Gelidium","ASV24","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Spirochaeta_2_uncultured_bacterium",0.5798,1.3723,12
"135","Gelidium","ASV249","Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Fusibacteraceae_Fusibacter_Acidaminobacter_sp.",0.5019,0.9977,12
"136","Gelidium","ASV256","Bacteroidota_Bacteroidia_Bacteroidales_Prolixibacteraceae_Roseimarinus_Prolixibacteraceae_bacterium",0.0454,0.1573,12
"137","Gelidium","ASV264","Firmicutes_Clostridia_Christensenellales_Christensenellaceae_uncultured_uncultured_bacterium",0.0589,0.2039,12
"138","Gelidium","ASV265","Proteobacteria_Gammaproteobacteria_Thiohalorhabdales_Thiohalorhabdaceae_uncultured_uncultured_bacterium",0.1265,0.4381,12
"139","Gelidium","ASV267","Bacteroidota_Bacteroidia_Flavobacteriales_Crocinitomicaceae_uncultured_uncultured_Cytophaga",0.4474,0.7414,12
"140","Gelidium","ASV272","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmataceae_Izimaplasma_uncultured_bacterium",0.206,0.5517,12
"141","Gelidium","ASV273","Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfobacteraceae_Desulfobacter_delta_proteobacterium",0.3916,0.9195,12
"142","Gelidium","ASV274","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmataceae_Izimaplasma_Candidatus_Izimaplasma",0.2747,0.7401,12
"143","Gelidium","ASV275","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Neptuniibacter_uncultured_bacterium",0.2949,1.0217,12
"144","Gelidium","ASV276","Bacteroidota_Bacteroidia_uncultured_uncultured_uncultured_uncultured_bacterium",0.3385,0.5986,12
"145","Gelidium","ASV289","Cloacimonadota_Cloacimonadia_Cloacimonadales_LK-44f_LK-44f_uncultured_gamma",0.2738,0.6615,12
"146","Gelidium","ASV294","Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_uncultured_bacterium",0.3832,1.3273,12
"147","Gelidium","ASV296","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_uncultured_uncultured_bacterium",0.0454,0.1573,12
"148","Gelidium","ASV297","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmatales_Izemoplasmatales_uncultured_bacterium",0.322,0.7325,12
"149","Gelidium","ASV298","Deferribacterota_Deferribacteres_Deferribacterales_Deferribacteraceae_uncultured_uncultured_bacterium",0.3171,0.7547,12
"150","Gelidium","ASV300","Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrionaceae_uncultured_bacterium",0.3292,0.818,12
"151","Gelidium","ASV306","Firmicutes_Clostridia_Clostridia_Hungateiclostridiaceae_uncultured_uncultured_bacterium",0.2698,0.6949,12
"152","Gelidium","ASV31","Proteobacteria_Gammaproteobacteria_Chromatiales_Chromatiaceae_Marichromatium_uncultured_bacterium",0.5029,1.7422,12
"153","Gelidium","ASV323","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Sediminispirochaeta_spirochete_endosymbiont",0.5057,0.9649,12
"154","Gelidium","ASV325","Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Halodesulfovibrio_uncultured_bacterium",0.1437,0.4978,12
"155","Gelidium","ASV331","Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Aquimarina_uncultured_bacterium",0.4342,1.0855,12
"156","Gelidium","ASV338","Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Maritimimonas_Maritimimonas_rapanae",0.0996,0.3451,12
"157","Gelidium","ASV340","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmataceae_Izimaplasma_uncultured_organism",0.1818,0.6297,12
"158","Gelidium","ASV35","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Neptuniibacter_Neptuniibacter_caesariensis",1.8676,4.3964,12
"159","Gelidium","ASV359","Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_uncultured_uncultured_bacterium",0.2434,0.5665,12
"160","Gelidium","ASV360","Patescibacteria_Gracilibacteria_Candidatus_Peribacteria_Candidatus_Peribacteria_Candidatus_Peribacteria_uncultured_organism",0.3975,0.9314,12
"161","Gelidium","ASV369","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Neptuniibacter_Neptuniibacter_halophilus",0.093,0.3221,12
"162","Gelidium","ASV38","Campilobacterota_Campylobacteria_Campylobacterales_Arcobacteraceae_uncultured_uncultured_bacterium",2.0769,3.7654,12
"163","Gelidium","ASV383","Desulfobacterota_Desulfuromonadia_PB19_PB19_PB19_uncultured_bacterium",0.1904,0.3921,12
"164","Gelidium","ASV395","Planctomycetota_BD7-11_BD7-11_BD7-11_BD7-11_uncultured_Planctomycetia",0.0303,0.1051,12
"165","Gelidium","ASV402","Proteobacteria_Gammaproteobacteria_Gammaproteobacteria_Incertae_Sedis_Unknown_Family_Marinicella_uncultured_bacterium",0.2104,0.4991,12
"166","Gelidium","ASV413","Desulfobacterota_Desulfobulbia_Desulfobulbales_Desulfocapsaceae_Desulfopila_uncultured_bacterium",0.0586,0.203,12
"167","Gelidium","ASV416","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Neptunomonas_Neptunomonas_sp.",0.0528,0.1829,12
"168","Gelidium","ASV447","Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfococcaceae_Desulfonema_uncultured_bacterium",0.2987,0.6977,12
"169","Gelidium","ASV45","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Sediminispirochaeta_uncultured_Alphaproteobacteria",0.2134,0.4985,12
"170","Gelidium","ASV456","Campilobacterota_Campylobacteria_Campylobacterales_Sulfurimonadaceae_Sulfurimonas_uncultured_bacterium",0.2942,0.6905,12
"171","Gelidium","ASV461","Verrucomicrobiota_Lentisphaeria_Oligosphaerales_Oligosphaeraceae_Oligosphaeraceae_uncultured_bacterium",0.1281,0.4438,12
"172","Gelidium","ASV470","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Spirochaeta_2_Spirochaeta_isovalerica",0.3525,0.6849,12
