"","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt2.WMS","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV1057",0,0,0,0,0.00265283974436272,0,0,0,0
"ASV372",0,0,0,0,0,0.0289812646370023,0,0,0
"ASV507",0,0,0,0,0,0,0,0.010536925050394,0
"ASV562",0,0,0,0,0,0,0.018774559743851,0,0
"ASV947",0,0,0,0,0,0,0,0,0.00474262579525737
"ASV177",0.0148323301805675,0,0.0404506583412515,0,0,0,0,0,0
"ASV387",0,0.0362785254534816,0,0,0,0,0,0,0
"ASV384",0,0,0.019275145920999,0,0,0,0,0,0
"ASV346",0,0,0,0,0,0.0127341920374707,0,0,0
"ASV632",0.0117153912295787,0,0,0,0,0,0,0,0
"ASV866",0,0,0,0,0.00687326661039431,0,0,0,0
"ASV42",0.0299871023215821,0,0,0.0792342462111141,0,0.0039519906323185,0.084121670790278,0,0
"ASV704",0.00967325881341359,0,0,0,0,0,0,0,0
"ASV210",0,0,0,0,0.00494392861449415,0,0,0,0
"ASV1062",0,0,0,0,0,0,0.00305632367923155,0,0
"ASV819",0,0,0,0,0.00795851923308815,0,0,0,0
"ASV354",0,0,0,0,0.0018087543711564,0,0,0,0
"ASV736",0,0,0,0,0,0,0,0,0.00647773279352227
"ASV944",0,0,0,0,0,0,0,0.00238226131574125,0
"ASV262",0,0,0,0,0,0,0,0,0.0279930595720069
"ASV726",0,0,0,0,0,0,0,0.00778816199376947,0
"ASV521",0,0,0,0,0,0.0213700234192037,0,0,0
"ASV43",0.0264402407566638,0,0.0604045065834125,0.0296463706461048,0,0.0278103044496487,0.0359481880366759,0.0113615539673813,0
"ASV223",0.0225709372312984,0,0,0,0,0.040251756440281,0,0,0
"ASV961",0.00419174548581255,0,0,0,0,0,0,0,0
"ASV408",0.0176268271711092,0,0,0,0,0,0,0,0
"ASV535",0,0,0.0190036649925343,0.00398830098378091,0,0,0,0.012552684625252,0
"ASV743",0,0,0,0,0.00542626311346919,0,0,0,0
"ASV865",0,0,0,0.00757777186918373,0,0,0,0,0
"ASV349",0,0,0,0.0273863334219622,0,0,0,0,0
"ASV602",0.0106405846947549,0.0139262726740784,0,0,0.0137465332207886,0,0,0,0
"ASV802",0,0,0,0.00704599840467961,0,0,0,0,0
"ASV417",0,0.0214160327677004,0,0,0,0,0,0,0
"ASV1061",0,0,0,0,0.00253225611961896,0,0,0,0
"ASV787",0,0,0,0.00957192236107418,0,0,0,0,0
"ASV139",0.0365434221840069,0.0162668227033353,0,0.0380218027120447,0,0,0.00727696114102751,0,0
"ASV254",0,0.0146284376828555,0,0,0.0151935367177137,0.0181498829039813,0,0.0074216602528862,0.00775014459224986
"ASV633",0,0,0,0,0,0,0,0,0.0126084441873916
"ASV946",0,0,0,0,0,0.00600117096018735,0,0,0
"ASV561",0,0,0,0,0.015555287591945,0.0188817330210773,0,0,0
"ASV966",0,0,0,0,0,0,0,0,0.0043956043956044
"ASV444",0,0.0201287302516091,0,0,0,0,0,0,0.00763447079236553
"ASV574",0,0,0,0,0.00349692511756903,0,0,0,0
"ASV56",0,0,0,0,0,0,0.046572551302576,0,0
"ASV929",0,0,0,0,0,0,0.00640372580410421,0,0
"ASV836",0,0.00444704505558806,0,0,0,0,0,0,0
"ASV529",0,0,0.00936609203203475,0,0,0,0,0,0
"ASV285",0,0.0255119953188999,0.0154744129224922,0,0.00156758712166888,0,0,0.00623052959501558,0.022325043377675
"ASV567",0,0,0,0.0168838074980058,0,0,0,0,0
"ASV136",0,0,0,0,0,0,0.0218308834230825,0,0
"ASV1052",0,0,0,0,0,0,0,0.0021073850100788,0
"ASV596",0,0,0,0,0.00614976486193175,0,0,0,0
"ASV525",0,0,0,0,0,0,0,0.00375664284405351,0
"ASV15",0.0209587274290628,0.00807489760093622,0,0.0110342993884605,0,0,0,0,0
"ASV580",0,0,0,0,0,0.00556206088992974,0,0.0114531794026022,0
"ASV909",0,0,0,0,0.00422042686603159,0,0,0,0
"ASV788",0,0,0,0,0,0,0,0.00659703133589885,0
"ASV504",0,0,0,0,0,0,0.0107699024887207,0,0
"ASV600",0.0128976784178848,0,0,0,0,0,0,0,0
"ASV286",0.0121453138435082,0,0,0.0311087476734911,0,0,0.0253238247707757,0,0
"ASV364",0.00644883920894239,0,0,0,0,0,0,0,0
"ASV754",0,0,0,0,0,0,0,0.00705515851200293,0
"ASV265",0,0,0,0,0,0,0,0.0176837089976177,0.0288027761711972
"ASV291",0,0,0.00597258042622506,0,0,0,0,0,0.026604973973395
"ASV999",0.00193465176268272,0,0,0.004387131082159,0.00325575786808151,0,0,0,0
"ASV752",0,0,0,0,0.00156758712166888,0,0,0,0
"ASV106",0.00978073946689596,0.0150965476887068,0.0263336500610832,0,0,0.0483021077283372,0,0,0.0424522845575477
"ASV465",0,0,0,0,0,0,0,0.0151181968114349,0.010294968189705
"ASV336",0.0176268271711092,0,0,0,0,0,0.0213942657546209,0,0
"ASV342",0.0200988822012038,0,0.015067191529795,0,0,0,0,0,0
"ASV649",0.00537403267411866,0,0,0,0,0,0,0,0.00948525159051475
"ASV203",0.031384350816853,0.0169689877121123,0,0,0,0.0121487119437939,0,0,0
