"","SEnd.1A.02.WMS","SEnd.1B.05.WMS","SEnd.1C.04.WMS","SEnd.1C.06.WMS","SEnd.1D.07.WMS","SEnd.2C.04.WMS","SEnd.2C.06.WMS","SEnd.2D.05.WMS","SEnd.2D.07.WMS","SEnd.2D.09.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS"
"ASV76",0,0.0661974928524302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00551896029909204,0,0,0,0,0,0,0,0
"ASV194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145998088120275,0,0,0,0,0,0,0,0,0,0,0,0.00750293083235639
"ASV795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107321219849113,0,0,0,0
"ASV740",0,0,0.00497301872817691,0,0,0,0,0,0,0,0,0,0,0,0,0.00695228991048927,0,0,0,0,0,0,0,0,0,0,0,0
"ASV338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119537275064267,0,0,0,0.0274846945421389,0,0,0,0,0,0
"ASV413",0.00703296703296703,0,0,0,0,0,0,0,0.0174159578776833,0,0,0,0,0,0,0.0159902667941253,0,0,0,0,0,0,0,0,0,0,0,0
"ASV392",0,0,0,0,0,0.0306254029658285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV19",0,0,0,0,0,0,0,0,0,0,0,0.0247189153439153,0,0,0,0,0,0.0190231362467866,0,0,0.0337388483373885,0,0,0,0,0,0,0
"ASV197",0,0,0.0209501640038091,0.0306429832762023,0,0,0.017875920084122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV822",0,0,0,0,0,0,0,0,0,0,0.0100994406463642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256356377390208,0,0,0,0,0,0,0,0,0,0,0,0,0
