"","sa1","sa2","sa3","sa4","sa5","sa6","sa7","sa8","sa9","sa10","sa11","sa12","sa13","sa14","sa15","sa16","sa17","sa18","sa19","sa20","sa21","sa35","sa36","sa37","sa38","sa39","sa40","sa41","sa42","sa43","sa44","sa45","sa46","sa47","sa48","sa49","sa50","sa51","sa52","sa56","sa57","sa59","sa60","sa62","sa63"
"FASYN-INITIAL-PWY",0.00360268559425191,0.00428498802690288,0.00436272711898831,0.00402390758442471,0.00454160195092407,0.00560532563758208,0.00611135960215999,0.00257508699661337,0.00249190535582147,0.0024690827848783,0.00349275320549345,0.00378519825371661,0.00324249160350347,0.00386313033333507,0.00546070130137876,0.00451070400147758,0.00324697203107477,0.00279638906107118,0.00596313798602957,0.00476763503743183,0.00259147293233073,0.00393742632634123,0.00448845551030707,0.00369160936287662,0.00323817231268908,0.0022494510109893,0.00298196954957391,0.00285467911491687,0.00312280092154758,0.00332725355068892,0.00434409882798846,0.00318591276424834,0.00370400563909627,0.00213488609432366,0.00497572375025111,0.00442146629998411,0.00301009967068329,0.00300610185021779,0.00233262068809459,0.00376946889990711,0.00559489321174551,0.0069396063942952,0.00438683550502624,0.00381937358748262,0.00382951226394683
"FERMENTATION-PWY",0.00553232256775749,0.00464418777336617,0.00399908441500581,0.00468285037869173,0.00350442713591897,0.00356769786878523,0.00451009320332011,0.00526475873409211,0.00440046176482364,0.00556937174785681,0.00542000657590494,0.00407203336363051,0.00490358250455964,0.00573476611444062,0.00482957696550223,0.00346790444573108,0.00484231383793853,0.00584769236239495,0.00488791100094803,0.0038784572354685,0.00557490902602793,0.00374608041816211,0.00451723437634185,0.00494500596570809,0.00444414004659258,0.00611881217649067,0.0052345336035341,0.00496568262880246,0.00528131908515276,0.00513289135479123,0.00563163576532281,0.00525379206328761,0.00483798922894888,0.0049645213120943,0.00425245803005244,0.00469424508276547,0.00517663929159442,0.00459246550703717,0.00413833659045555,0.0037374068670876,0.00469310894922592,0.00459640319036153,0.00431302399553749,0.00413923199864076,0.00430546191140845
"FOLSYN-PWY",0.00534108325861974,0.00520414585321034,0.00554313316409172,0.00534631820912256,0.00513648609112418,0.00548974518749994,0.00578501822511631,0.0053445378522112,0.00552530929586648,0.00560062380985278,0.00572612851672296,0.00549516899338789,0.00578358495674223,0.00542160289345271,0.00578836311174041,0.00479829188963492,0.00498207583002346,0.00555922321411731,0.00552521605118816,0.00506334336175237,0.00492710458718004,0.0057878950536321,0.0053303620403401,0.00566552268399713,0.00569394758611237,0.00444818297584789,0.00573511647003664,0.00584678348522135,0.00539489570110007,0.00592944378206545,0.00588697002078858,0.00494198229494995,0.00524699072921854,0.00589741884434742,0.00517884588629116,0.00562422473337054,0.00561718122780151,0.00519982999024736,0.00600358377420205,0.00547092325996079,0.00587789204865337,0.00484699510370261,0.00592755756390269,0.00483211656871887,0.00594772162257573
"FUC-RHAMCAT-PWY",0,0,0,1.25971736202154e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000350538146898286,0,0,5.85672689094244e-05,0,0,0,0,0,0.000147144777294977,0,0,0,0,0,0,0,0,0,0,0,0
"FUCCAT-PWY",0.000208312522697333,0,0.000194306398677786,0.00082099668920217,6.58836933839756e-05,0,0,0.000281081482917782,0.000111681901721911,0.000198063758651711,0.000175530175112012,0.000437498560058075,4.83225725929936e-06,3.97093082723908e-05,0.000108266100691725,0,1.0688645529819e-06,8.43044669061113e-05,0,0,0,0,0.000201948910905441,0.000308752049817773,0,9.30326794556397e-05,0.000305102662872779,0,0.00034050034596195,0.00011776819531961,0,0.000416308318096862,0.000159988936091735,0.000120049243509366,0,2.22993169019841e-05,0,0.000122606386682249,0.000200076894667173,0.000207711830163807,3.34637921717918e-05,3.43180693220667e-06,4.70222597996401e-05,0.000445602725780796,0
"GALACT-GLUCUROCAT-PWY",0.000925976037453635,0.000196690623797229,0.000643863081534017,0.000996702019818275,0.000813491681902759,0.000634955464274212,0.000365373246707595,0.000124415051424341,0.00111329510754446,0.000854519047379267,0.000968319709935239,0.000452614069950113,0.000267036975141351,0.000144412776395039,0.000162596242106241,0.000488982214066615,0.000368369463672845,0.000313086516064041,0.000852330907466858,0.000295012909408861,0.000568991649593882,0.000315449205472574,0.000529289277504134,0.000808518334591149,0.000890547136154328,0.000455545068631173,0.000511025506870136,0.000420264378056689,0.000773911297874333,0.000877690198539672,0.000308826657800288,0.000560387890999669,0.000351132365257276,0.000336800693241951,0.00047885986935571,0.000405908261021178,0.000763327627419695,0.000855557258803229,0.000524562925224174,0.00108647340746418,0.000561299698887481,0.00112244012290564,0.000667832068576595,0.00148994048535853,0.000276471587444367
"GALACTARDEG-PWY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83560920897441e-05,0.000180330762368283,0,0,0,0.000219810793941403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384591032862641,0
"GALACTUROCAT-PWY",0.00180699973286307,0.000634675728636057,0.00180215476871635,0.00183030491246298,0.00179394871310995,0.00203337225353198,0.000931156520231148,0.000588410474398861,0.00208423673748877,0.00153066214994766,0.00215864522237139,0.00102365874106449,0.0022758528084149,0.00142826800536904,0.000763945203024614,0.00134572052755459,0.00177450223176267,0.000939653877091732,0.0015291677057554,0.000594232688310277,0.000832026728756855,0.00116970548389097,0.00188940502458123,0.00161331750650579,0.00131663862115389,0.00101470659281887,0.00144768595983906,0.00113044883904897,0.00149171427132108,0.00161408306415935,0.000978144067498123,0.00130002165862054,0.00160275967693606,0.000981731664148873,0.00207029418699765,0.000567449185863985,0.00140462847838348,0.00113812123330633,0.00166683996444401,0.00230284886629385,0.00121453387111713,0.00246868386012094,0.00144889506061066,0.00257720905216439,0.000973918520070318
"GALLATE-DEGRADATION-I-PWY",0,0.000138220641227517,0,0,0.000366267531001111,0.000244949459796704,0,0,0,0,0,0,0.000468242375817002,0,0,0.000256682639098068,0,0,0,0.00028742714430153,0,0,1.60618123306766e-05,0,0,0,0,0,0,0,0.000103959735583286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GALLATE-DEGRADATION-II-PWY",0,0.000138220641227517,0,0,0.000366267531001111,0.000244949459796704,0,0,0,0,0,0,0.000468242375817002,0,0,0.000256682639098068,0,0,0,0.00028742714430153,0,0,1.60618123306766e-05,0,0,0,0,0,0,0,0.000103959735583286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLCMANNANAUT-PWY",0.000251375699136439,0.000151995751049894,0.000178405938121162,0.000311717658705182,0.00018183229025175,7.31059067893063e-05,0,0.00147574170442951,0.000470232399699734,0,0.000629821508405243,0.000875831770766512,0.000220064335417772,5.21931479746304e-05,0,0,0.000988576215003209,0.000399406566233047,0,0.000204427723867171,0.000272512372479446,0.000367817204024674,0.000392427603717785,0.000556668299422301,0,0,0.000368955139793519,0,0.000491335231950453,0.000676200981735593,0,0.000253594051936006,0.0003574292397912,8.13434611053258e-05,0.000784600220462626,0.000279038014979631,0,0.00018739607846588,0.000694642857278456,0.000203714662442981,0,0.000537367501055081,4.12818944314691e-05,0.000951141542074161,0
"GLUCARDEG-PWY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83560920897441e-05,0.000180330762368283,0,0,0,0.000219810793941403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLUCARGALACTSUPER-PWY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83560920897441e-05,0.000180330762368283,0,0,0,0.000219810793941403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384591032862641,0
"GLUCONEO-PWY",0.0061002370501531,0.00638754654191385,0.00624915041577688,0.00588818443875162,0.00642995009144684,0.00651953883350958,0.00676577342539163,0.00607021287893642,0.00633459562783391,0.00659712776783191,0.00613712421013294,0.00590124588379283,0.00683458684304564,0.00654969227245799,0.00666644901198996,0.00636569907704186,0.00645126386452666,0.00624582840804936,0.00573976028945776,0.005697929312156,0.00666358539572191,0.00650997432338937,0.00650142528624195,0.00607450549696224,0.00628786977050268,0.00711631299924049,0.00632221261878389,0.00638938970424539,0.00626495086328622,0.00640206253590246,0.00668425988332256,0.00593295113925,0.00642677861339819,0.00662333884740387,0.00613262622040141,0.00670916405883546,0.00662960120599692,0.00654470243805696,0.00715140143543965,0.00653648511726102,0.00614271731350634,0.00643558169793186,0.00667216194246941,0.00599632206570162,0.00660689160129883
"GLUCOSE1PMETAB-PWY",0.00333909576015647,0.00298202772297518,0.00158162081153193,0.00235895306752138,0.00210971750299987,0.00102291351275908,0.00192616439008535,0.00271389030270868,0.00190994106147586,0.00378771820880332,0.00240627328823078,0.00218989183520169,0.00275921553375932,0.00324099344337521,0.000118159788435445,0.00208471168588191,0.00277723627646429,0.00421025294918326,0.00316278064484157,0.00264041556105432,0.00407343608099893,0.00191481836060208,0.0016733955125743,0.00283985325294636,0.00173140706835882,0.00383000256511794,0.00295787880512188,0.00244710728692147,0.00289337346279267,0.00325470404562527,0.0032347522760166,0.00325580164826143,0.000916208463561325,0.0024371513245989,0.00143644337338021,0.00210857568077392,0.00324781885599304,0.00281247953918755,0.00145253575848361,0.00110536131760914,0.00247168571082922,0.00173313872912669,0.00190806740955644,0.00169453451689024,0.0017070670532895
"GLUCUROCAT-PWY",0.000977333496176579,0.000157202580684515,0.000573371589226192,0.00106293367350334,0.000735398497402073,0.00153884075674787,0.000363015547846714,9.75274123764344e-05,0.00104285974698852,0.000835845939913403,0.000866587075953851,0.00110184154466621,0.000189021809511717,0.000102411715417784,0.000128572981589671,0.000410953123144972,0.000642034460495206,0.000263825127093089,0.00178529336095668,0.000367254238696162,0.000653649112076772,0.000576573005137246,0.000418091944694688,0.000713331143028736,0.000929098606729717,0.000603793178743357,0.000424250464397326,0.00035152811272645,0.000741854674954416,0.000817428043504429,0.000244476336067841,0.000632117963821329,0.000288284835151749,0.000293980275141784,0.000383414860011407,0.000515874110335555,0.000744633061061489,0.000884764697165195,0.000438545673549037,0.0011312480022218,0.000613733699845053,0.00114763830282387,0.000606264252768287,0.00234612498308897,0.000230941696564359
"GLUTORN-PWY",0.00580973488391209,0.00596843255433398,0.00592867188804259,0.00587059802440342,0.00552076251141267,0.00589499145731082,0.00543938111778007,0.00576772205689954,0.00596776847332668,0.0056326692663315,0.0060776386284469,0.00593729780631711,0.00551683723027239,0.00616404019554079,0.00663228474620137,0.00571522902298217,0.00582762675656597,0.00601317916464067,0.00522209834834057,0.00566109340773765,0.00630181561360004,0.00503250570180995,0.00532833050956275,0.00574478632354151,0.00519337499759821,0.00623567760638062,0.00555850213397103,0.00576514053438117,0.00594546519231001,0.00556497466058966,0.0062653999218223,0.00603430625517283,0.00563726752755683,0.00611643064571951,0.00594011800897387,0.00549524743184425,0.00543460864170942,0.00516266183723305,0.0055623695211581,0.00564266852535378,0.0057771961931998,0.00531324663557952,0.00582540755060453,0.00543970426440379,0.00574888421731453
