"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.WAT","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV139",0.00597812261511066,0,0,0.0422822210901681,0.0365434221840069,0.0162668227033353,0,0.0380218027120447,0,0.00727696114102751,0,0
"ASV254",0,0,0,0,0,0.0146284376828555,0,0,0.0151935367177137,0,0.0074216602528862,0.00775014459224986
"ASV633",0,0,0,0,0,0,0,0,0,0,0,0.0126084441873916
"ASV693",0,0.00407268170426065,0,0,0,0,0,0,0,0,0,0
"ASV318",0,0.0324248120300752,0,0,0,0,0,0,0,0,0,0
"ASV3",0,0.0328947368421053,0,0.0210137544574631,0,0,0,0,0,0,0,0
"ASV437",0.0222589671839227,0,0,0,0,0,0,0,0,0,0,0
"ASV843",0,0.00955513784461153,0,0,0,0,0,0,0,0,0,0
"ASV561",0,0,0,0,0,0,0,0,0.015555287591945,0,0,0
"ASV966",0,0,0,0,0,0,0,0,0,0,0,0.0043956043956044
"ASV444",0,0,0,0,0,0.0201287302516091,0,0,0,0,0,0.00763447079236553
"ASV574",0,0,0,0,0,0,0,0,0.00349692511756903,0,0,0
"ASV434",0.0167896209615874,0,0,0,0,0,0,0,0,0,0,0
"ASV56",0,0,0,0,0,0,0,0,0,0.046572551302576,0,0
"ASV805",0.00864919867718138,0,0,0,0,0,0,0,0,0,0,0
"ASV929",0,0,0,0,0,0,0,0,0,0.00640372580410421,0,0
"ASV836",0,0,0.00577711516958628,0,0,0.00444704505558806,0,0,0,0,0,0
"ASV529",0,0,0,0,0,0,0.00936609203203475,0,0,0,0,0
"ASV285",0,0,0,0,0,0.0255119953188999,0.0154744129224922,0,0.00156758712166888,0,0.00623052959501558,0.022325043377675
"ASV567",0,0,0,0,0,0,0,0.0168838074980058,0,0,0,0
"ASV136",0,0,0.0309355199403653,0,0,0,0,0,0,0.0218308834230825,0,0
"ASV1052",0,0,0,0,0,0,0,0,0,0,0.0021073850100788,0
"ASV795",0,0,0.00316809541557958,0,0,0,0,0,0,0,0,0
"ASV596",0.0133553803103536,0,0,0,0,0,0,0,0.00614976486193175,0,0,0
"ASV525",0,0,0,0,0,0,0,0,0,0,0.00375664284405351,0
"ASV15",0,0,0,0,0.0209587274290628,0.00807489760093622,0,0.0110342993884605,0,0,0,0
"ASV580",0,0,0,0,0,0,0,0,0,0,0.0114531794026022,0
"ASV4",0,0.0960213032581454,0,0.0630412633723892,0,0,0,0,0,0,0,0
