"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.SED","F04.21.WAT","F07.20.COR","F07.20.GEL","F07.20.SED","F07.20.WMS","F07.21.COR","F07.21.GEL","F07.21.SED","F07.21.WAT","F09.21.GEL","F09.21.SED","F09.21.WAT","F09.21.WMS","F10.20.GEL","F10.20.SED","F10.20.WAT","F10.20.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WSt1.1A.04.GEL","WSt1.1A.COR","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR"
"ASV773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963918197212453,0,0,0,0,0,0,0,0,0,0,0,0
"ASV254",0,0,0,0,0,0.0145206697288487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393101305158484,0,0,0,0,0,0.00997109826589595,0,0,0.0416592487092754,0,0,0.0340057636887608,0,0,0.0202446225221426,0,0,0,0.0146284376828555,0,0.0151935367177137,0,0.0074216602528862
"ASV265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203514094299077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176837089976177
"ASV146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504836759371221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV21",0,0.0847431077694236,0,0,0.00840550178298523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129987908101572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV666",0,0,0,0,0,0,0,0,0,0,0,0,0.0152990264255911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520231213872832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV562",0,0,0,0.00558659217877095,0,0,0,0,0,0,0,0.00735374821644166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018774559743851,0
"ASV926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00537568723274282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV357",0.00623251081149835,0,0,0,0,0,0,0,0,0.0365942028985507,0,0,0,0.0170272692356933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1005",0,0,0,0,0,0,0,0,0,0,0,0.0034024805180551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
